,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1558227,2008,3,2,7,1123.0,1130,1200.0,1207,HA,126,N484HA,37.0,37.0,21.0,-7.0,-7.0,HNL,OGG,100,5.0,11.0,0,,0,,,,,
703364,2008,2,16,6,838.0,720,1400.0,1127,XE,2557,N11106,262.0,187.0,160.0,153.0,78.0,OKC,EWR,1325,5.0,97.0,0,,0,0.0,78.0,75.0,0.0,0.0
3559822,2008,6,4,3,1815.0,1815,1922.0,1934,CO,236,N12313,67.0,79.0,49.0,-12.0,0.0,IAH,MFE,316,4.0,14.0,0,,0,,,,,
1245018,2008,3,24,1,832.0,815,919.0,905,WN,796,N608SW,47.0,50.0,35.0,14.0,17.0,BWI,ORF,159,3.0,9.0,0,,0,,,,,
1900917,2008,4,12,6,1727.0,1730,1904.0,1902,XE,3055,N16112,157.0,152.0,142.0,2.0,-3.0,SAV,IAH,851,6.0,9.0,0,,0,,,,,
4185294,2008,7,16,3,1916.0,1910,2233.0,2236,CO,204,N39418,197.0,206.0,145.0,-3.0,6.0,EWR,FLL,1065,4.0,48.0,0,,0,,,,,
5584082,2008,10,26,7,1217.0,1225,1420.0,1437,UA,55,N842UA,123.0,132.0,106.0,-17.0,-8.0,SEA,SFO,679,4.0,13.0,0,,0,,,,,
3139244,2008,6,19,4,1032.0,1025,1131.0,1114,YV,2891,N935LR,59.0,49.0,27.0,17.0,7.0,TUS,PHX,110,8.0,24.0,0,,0,17.0,0.0,0.0,0.0,0.0
4588867,2008,8,26,2,1842.0,1850,2213.0,2220,F9,237,N914FR,151.0,150.0,132.0,-7.0,-8.0,DEN,BNA,1013,5.0,14.0,0,,0,,,,,
5202145,2008,9,16,2,920.0,920,1115.0,1115,MQ,3854,N907AE,115.0,115.0,94.0,0.0,0.0,PNS,DFW,604,11.0,10.0,0,,0,,,,,
1798918,2008,4,5,6,1543.0,1550,2134.0,2200,WN,3040,N415WN,231.0,250.0,210.0,-26.0,-7.0,SFO,MDW,1855,4.0,17.0,0,,0,,,,,
4576294,2008,8,21,4,1740.0,1745,1933.0,1950,EV,4803,N979EV,113.0,125.0,90.0,-17.0,-5.0,ALB,CVG,623,13.0,10.0,0,,0,,,,,
